go name,code
Inferred from Experiment,EXP
Inferred from Direct Assay,IDA
Inferred from Physical Interaction,IPI
Inferred from Mutant Phenotype,IMP
Inferred from Genetic Interaction,IGI
Inferred from Expression Pattern,IEP
Inferred from High Throughput Experiment,HTP
Inferred from High Throughput Direct Assay,HDA
Inferred from High Throughput Mutant Phenotype,HMP
Inferred from High Throughput Genetic Interaction,HGI
Inferred from High Throughput Expression Pattern,HEP
Inferred from Biological aspect of Ancestor,IBA
Inferred from Biological aspect of Descendant,IBD
Inferred from Key Residues,IKR
Inferred from Rapid Divergence,IRD
Traceable Author Statement,TAS
Inferred by Curator,IC
